Algorithm: Connected Components
Number of components: 22
Vertex Component
0 0
1 0
2 0
3 0
4 0
5 1
6 1
7 1
8 1
9 1
10 2
11 2
12 2
13 2
14 3
15 3
16 3
17 3
18 3
19 4
20 4
21 4
22 4
23 5
24 5
25 5
26 5
27 5
28 6
29 6
30 6
31 6
32 7
33 7
34 7
35 7
36 7
37 8
38 8
39 8
40 8
41 9
42 9
43 9
44 9
45 9
46 10
47 10
48 10
49 10
50 11
51 11
52 11
53 11
54 11
55 12
56 12
57 12
58 12
59 12
60 13
61 13
62 13
63 13
64 14
65 14
66 14
67 14
68 14
69 15
70 15
71 15
72 15
73 16
74 16
75 16
76 16
77 16
78 17
79 17
80 17
81 17
82 18
83 18
84 18
85 18
86 18
87 19
88 19
89 19
90 19
91 20
92 20
93 20
94 20
95 20
96 21
97 21
98 21
99 21
Execution time: 0.017 ms
